coditen_cli,descricao,codbarras,ncm,ex_ncm,natu_tabela,natu_codnature,cst_in,cst_out,aliq_in_pis,aliq_out_pis,aliq_in_cofins,aliq_out_cofins,conferido,cest,cst_in_icms,cst_out_icms,aliq_in_icms,aliq_out_icms,bc_dentro,bc_fora,cson
1791,CEBOLINHA UNIDADE,,,00,,,,,,,,,0,,,,,,,,
1793,MOSTARDA UNID.,,,00,,,,,,,,,0,,,,,,,,
1795,RUCULA UNIDADE,,,00,,,,,,,,,0,,,,,,,,
1806,ALFACE CRESPA UNIDADE,,,00,,,,,,,,,0,,,,,,,,
1850,MELAO REDINHA KG,,,00,,,,,,,,,0,,,,,,,,
1864,ABOBORA MORANGA KG,,,00,,,,,,,,,0,,,,,,,,
1871,BISCOITO QUEIJO KG,,,00,,,,,,,,,0,,,,,,,,
1898,SALGADO KG,,,00,,,,,,,,,0,,,,,,,,
1900,EMPADA SABORES UNID.,,,00,,,,,,,,,0,,,,,,,,
1902,AGUA EXCELENCIA 20L,,,00,,,,,,,,,0,,,,,,,,
1911,PERA RED KG,,,00,,,,,,,,,0,,,,,,,,
1912,FRANGO SEARA KG,,,00,,,,,,,,,0,,,,,,,,
1928,MINI PASTEL KG,,,00,,,,,,,,,0,,,,,,,,
1937,CHURROS KG,,,00,,,,,,,,,0,,,,,,,,
1950,MELAO PELE DE SAPO KG,,,00,,,,,,,,,0,,,,,,,,
1962,FRANGO MAROMBI KG,,,00,,,,,,,,,0,,,,,,,,
2003,GELO EM BARRA/CUBO UND.,,,00,,,,,,,,,0,,,,,,,,
2020,LINGUICA NUTRIBRAS KG,,,00,,,,,,,,,0,,,,,,,,
2038,PAO DE QUEIJO JOIA MINEIRA KG,,,00,,,,,,,,,0,,,,,,,,
2043,FILE DE FRANGO SASSAMI KG,,,00,,,,,,,,,0,,,,,,,,
2052,COUVE UNIDADE,,,00,,,,,,,,,0,,,,,,,,
2058,BACON SADIA VC KG,,,00,,,,,,,,,0,,,,,,,,
2063,BISCOITO ROSCA DE NATA KG,,,00,,,,,,,,,0,,,,,,,,
2064,BISCOITO BEIJINHO RECHE GOIABA KG,,,00,,,,,,,,,0,,,,,,,,
2089,MANGA KG,,,00,,,,,,,,,0,,,,,,,,
2094,PANCETA SUINA KG,,,00,,,,,,,,,0,,,,,,,,
2129,HORTELA UNIDADE,,,00,,,,,,,,,0,,,,,,,,
2154,SALGADO FRITO UND,,,00,,,,,,,,,0,,,,,,,,
2166,RAPADURA 400G,,,00,,,,,,,,,0,,,,,,,,
2181,COOPERNOVA QUEIJO COALHO KG,,,00,,,,,,,,,0,,,,,,,,
